priority_rank,name,county,town,lat,lon,risk_score,risk_level,rain_24h_mm_demo,elevation_m,slope_deg,aspect_deg,aspect_dir,aspect_score,terrain_score,debris_dist_m,debris_Risk,lswarn_dist_m,lswarn_Risk,lspot_dist_m,lspot_Risk,event_dist_m,event_Events,law_status,law_issue,indigenous_area,data_confidence,suggested_action,alert_message
136,梅山久久露營場,宜蘭縣,冬山鄉,24.6261207088585,121.724469967081,53.9,加強監測,212.83670348826624,213.51,26.55,99.7,東,83.1,70.1,345.5270400622433,雿,21760.20606744536,雿,22901.29316540622,低,16071.285378185376,鳳凰颱風,符合相關法規露營場,無或未標示,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】宜蘭縣冬山鄉「梅山久久露營場」目前為「加強監測」。主因：雨量偏高 213 mm/24h、坡向 東，迎風暴露較高、距土石流影響範圍 346 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
137,和風農場露營區,高雄市,桃源區,23.1843196762065,120.786907052603,53.9,加強監測,200.02875079775492,825.36,4.99,254.0,西,0.0,9.7,379.5765995212995,蝥閫撖,8991.160963020875,銝,8991.160963020875,中,175.53453552392688,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】高雄市桃源區「和風農場露營區」目前為「加強監測」。主因：雨量偏高 200 mm/24h、距土石流影響範圍 380 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
138,小白屋農園,苗栗縣,卓蘭鎮,24.317292,120.845573,53.8,加強監測,186.20813019821267,455.74,18.83,303.9,西北,0.0,36.7,710.7938305318426,蝥閫撖,299.0250539348211,銝,299.0250539348211,中,2336.4347034315697,0728豪雨,違反相關法規露營場,不符合土地管制法規,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣卓蘭鎮「小白屋農園」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
139,舒谷露營區,南投縣,仁愛鄉,24.03042,121.17279,53.7,加強監測,246.26962761874464,1063.98,21.29,121.3,東南,98.9,63.3,969.9645552141488,銝,845.4293669457512,擃,845.4293669457512,高,5193.512349641505,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「舒谷露營區」目前為「加強監測」。主因：雨量偏高 246 mm/24h、坡向 東南，迎風暴露較高、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
140,CaVa休閒露營區,桃園市,復興區,24.76894,121.355555,53.7,加強監測,192.38746053029385,513.95,16.47,232.4,西南,6.3,33.5,695.2013958640134,蝥閫撖,385.4333963410725,銝,385.4333963410725,中,636.1940046293322,0728豪雨,符合相關法規露營場,尚未設置登記,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】桃園市復興區「CaVa休閒露營區」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
141,汪爸露營區,嘉義縣,阿里山鄉,23.461296800288,120.698564639239,53.6,加強監測,208.2467762667456,1101.58,13.02,245.3,西南,0.0,25.4,596.4259189362105,雿,265.80276251947606,擃,494.4659738396831,高,2381.657801985305,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】嘉義縣阿里山鄉「汪爸露營區」目前為「加強監測」。主因：雨量偏高 208 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
142,薆繞原山營地露營場,苗栗縣,泰安鄉,24.359936,120.961004,53.6,加強監測,201.9873866681243,666.28,14.1,200.2,南,33.2,34.8,75.79776174243733,蝥閫撖,4357.957307854186,擃,4357.957307854186,高,5253.955752366984,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「薆繞原山營地露營場」目前為「加強監測」。主因：雨量偏高 202 mm/24h、距土石流影響範圍 76 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
143,露也楓情 (羽松區),苗栗縣,泰安鄉,24.42689,120.91747,53.5,加強監測,214.56903262294009,794.09,7.56,237.1,西南,1.5,15.1,1425.110629998004,擃,121.46077076105938,銝,121.46077076105938,中,8478.870596755944,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「露也楓情 (羽松區)」目前為「加強監測」。主因：雨量偏高 215 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
144,瑪莉溫泉休閒農莊,南投縣,仁愛鄉,24.024158,121.163843,53.4,加強監測,232.9316884676629,1052.32,10.16,320.2,西北,0.0,19.8,153.25394326730128,銝,1903.4829830033304,擃,1903.4829830033304,高,6174.811442343883,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,農業發展條例,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「瑪莉溫泉休閒農莊」目前為「加強監測」。主因：雨量偏高 233 mm/24h、距土石流影響範圍 153 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
145,阿將的家獵人帳,嘉義縣,阿里山鄉,23.4614384000556,120.698071881567,53.4,加強監測,225.28776678430043,1098.44,5.4,175.8,南,24.1,15.8,603.3183801390106,雿,308.1621982812977,擃,523.8960380974102,高,2430.3952474893845,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】嘉義縣阿里山鄉「阿將的家獵人帳」目前為「加強監測」。主因：雨量偏高 225 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
146,跑馬古道露營區,宜蘭縣,礁溪鄉,24.8436976750639,121.776836321701,53.3,加強監測,211.29300905911327,254.22,26.25,149.2,東南,75.7,67.8,476.601032367452,銝,12757.803996365586,擃,12884.322134629949,高,19287.3570184458,1020豪雨,違反相關法規露營場,違反農業發展條例,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】宜蘭縣礁溪鄉「跑馬古道露營區」目前為「加強監測」。主因：雨量偏高 211 mm/24h、坡向 東南，迎風暴露較高、距土石流影響範圍 477 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
147,橘子園露營區,宜蘭縣,礁溪鄉,24.8403564571796,121.781574206357,53.3,加強監測,202.72770012622155,30.43,6.34,143.3,東南,42.6,21.7,0.0,銝,13341.437451136711,擃,13468.481260179677,高,19631.007421702183,1020豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】宜蘭縣礁溪鄉「橘子園露營區」目前為「加強監測」。主因：雨量偏高 203 mm/24h、距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
148,拿哥的秘密基地浪漫露營區,南投縣,信義鄉,23.8245493,120.9417081,53.2,加強監測,217.16839844177645,745.07,12.98,249.9,西,0.0,25.3,0.4136553491492514,擃,16276.860048710074,雿,16548.371505040715,低,5460.653521047368,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣信義鄉「拿哥的秘密基地浪漫露營區」目前為「加強監測」。主因：雨量偏高 217 mm/24h、距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
149,土牧驛健康農莊,苗栗縣,泰安鄉,24.4930962920556,120.945356211955,53.2,加強監測,191.28777068819403,607.76,13.6,267.1,西,0.0,26.5,0.0,擃,5577.458419274776,銝,5577.43810242328,中,5110.926533978546,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「土牧驛健康農莊」目前為「加強監測」。主因：距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
150,山川密境露營區,苗栗縣,南庄鄉,24.59644,121.01898,53.2,加強監測,179.10596190143048,268.49,21.05,13.0,北,10.8,43.4,82.53692167775012,雿,7837.881369609335,銝,7911.316457669072,中,9104.184811418054,1020豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣南庄鄉「山川密境露營區」目前為「加強監測」。主因：距土石流影響範圍 83 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
151,微笑山妍,苗栗縣,大湖鄉,24.42768,120.89189,53.2,加強監測,169.6549377956498,317.63,4.26,270.2,西,0.0,8.3,91.8152299674856,銝,744.4906573064872,銝,2184.832261676098,中,8712.079655501373,0728豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣大湖鄉「微笑山妍」目前為「加強監測」。主因：距土石流影響範圍 92 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
152,大桶山泰雅藝術館(前桶壁角親子露營聖地),新北市,烏來區,24.8835399659029,121.556025052786,53.2,加強監測,168.65895668975327,273.74,24.99,355.4,北,0.0,48.7,63.3118842929909,擃,15048.725747472425,擃,15323.562773280357,高,10103.51624229558,1020豪雨,違反相關法規露營場,土地使用分區管制要點或都市計畫法新北市施行細則/建築法及違章建築處理辦法等規定,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新北市烏來區「大桶山泰雅藝術館(前桶壁角親子露營聖地)」目前為「加強監測」。主因：距土石流影響範圍 63 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
153,芭喇露營區生態休閒農莊,南投縣,仁愛鄉,23.9069458,121.0520012,53.1,加強監測,246.9974878933149,771.65,14.16,289.1,西,0.0,27.6,185.2913103384146,銝,11238.0764685573,擃,11290.45276681167,高,1614.913026084184,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,農業發展條例,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「芭喇露營區生態休閒農莊」目前為「加強監測」。主因：雨量偏高 247 mm/24h、距土石流影響範圍 185 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
154,山上松亭露營區,臺中市,和平區,24.176691,120.97486,53.1,加強監測,219.12397665941592,687.15,13.66,164.7,南,62.8,40.5,239.22235485788875,銝,16738.358211323743,擃,16738.358211323743,高,5352.594505445972,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】臺中市和平區「山上松亭露營區」目前為「加強監測」。主因：雨量偏高 219 mm/24h、距土石流影響範圍 239 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
155,大塊森林,南投縣,仁愛鄉,24.0797723,120.9873531,53.1,加強監測,215.10681527411495,482.82,22.02,308.8,西北,0.0,42.9,225.5214080781641,雿,19004.572118353128,雿,19004.572118353128,低,1657.351405134337,0728豪雨,違反相關法規露營場,未提出露營場申請,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「大塊森林」目前為「加強監測」。主因：雨量偏高 215 mm/24h、距土石流影響範圍 226 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
156,草地人溫泉會館露營區,高雄市,六龜區,23.0569964641149,120.677099599708,53.0,加強監測,196.51355295451447,362.14,0.53,75.2,東,0.0,1.0,5.900696480029784,擃,2983.846717800004,擃,2324.367074236034,高,513.0536782679857,0728豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】高雄市六龜區「草地人溫泉會館露營區」目前為「加強監測」。主因：距土石流影響範圍 6 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
157,目上景露營區,苗栗縣,泰安鄉,24.427899,120.915256,53.0,加強監測,189.9342491247573,743.66,12.21,268.6,西,0.0,23.8,1433.0991706389568,擃,230.97317183724397,銝,230.97317183724397,中,8571.94483633715,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「目上景露營區」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
158,拉波波村,基隆市,暖暖區,25.0771888560604,121.755024285939,53.0,加強監測,165.90711302965818,150.27,21.79,204.2,西南,29.8,49.0,32.943826549012165,銝,6324.110577421253,擃,6324.110577421253,高,7264.102273435557,1020豪雨,符合相關法規露營場,無或未標示,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】基隆市暖暖區「拉波波村」目前為「加強監測」。主因：距土石流影響範圍 33 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
159,二本松露營區,苗栗縣,泰安鄉,24.40277,120.979766,52.9,加強監測,218.0883263006945,1211.59,20.55,261.8,西,0.0,40.1,230.3260772397975,雿,5586.563675983975,擃,5596.276589755425,高,9123.12704573632,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「二本松露營區」目前為「加強監測」。主因：雨量偏高 218 mm/24h、距土石流影響範圍 230 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
160,曲冰岱牧露營區(曲冰金龍露營區),南投縣,仁愛鄉,23.934111,121.075358,52.9,加強監測,214.8899462814493,830.15,12.84,294.8,西北,0.0,25.0,59.05309757327208,銝,7828.099938023078,擃,7872.898500478193,高,5362.617832044523,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,未提出露營場申請,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「曲冰岱牧露營區(曲冰金龍露營區)」目前為「加強監測」。主因：雨量偏高 215 mm/24h、距土石流影響範圍 59 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
161,金崙鄭大姐營地,臺東縣,金峰鄉,22.53297,120.959751,52.9,加強監測,176.7244306247834,50.39,6.16,197.9,南,18.0,16.0,0.0,擃,1720.698243792535,擃,1720.698243792535,高,4900.913817187687,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】臺東縣金峰鄉「金崙鄭大姐營地」目前為「加強監測」。主因：距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
162,蕃米力親子營地(同碧湖(福星)農場營地(月牙灣)),新北市,坪林區,24.89309,121.74273,52.9,加強監測,164.5514034615402,294.37,36.36,91.8,東,76.5,87.7,300.10993919209056,銝,6329.96698072878,擃,6459.573391061095,高,14276.22545051622,1020豪雨,違反相關法規露營場,建築法及違章建築處理辦法等規定,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新北市坪林區「蕃米力親子營地(同碧湖(福星)農場營地(月牙灣))」目前為「加強監測」。主因：DEM坡度 36°、坡向 東，迎風暴露較高、距土石流影響範圍 300 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
163,浦楓露營區,新竹縣,尖石鄉,24.642186,121.277601,52.8,加強監測,238.65380389300267,1167.09,18.65,156.6,東南,69.5,51.7,416.604636387837,擃,2469.4300777994617,擃,2751.231327671412,高,15449.211785194277,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新竹縣尖石鄉「浦楓露營區」目前為「加強監測」。主因：雨量偏高 239 mm/24h、距土石流影響範圍 417 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
164,舒活露營區,新竹縣,尖石鄉,24.739899,121.254257,52.8,加強監測,208.00742028967716,490.27,13.8,93.6,東,78.0,44.1,204.55561420930275,擃,7894.014279274201,擃,8034.982568228876,高,10394.625898616325,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新竹縣尖石鄉「舒活露營區」目前為「加強監測」。主因：雨量偏高 208 mm/24h、坡向 東，迎風暴露較高、距土石流影響範圍 205 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
165,北港溪沙八渡假村,南投縣,國姓鄉,24.0624419,120.9345423,52.8,加強監測,200.57173959832085,370.32,6.68,170.3,南,32.3,20.1,0.0,雿,14025.305608005205,雿,14025.305608005205,低,5838.381487389175,0728豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣國姓鄉「北港溪沙八渡假村」目前為「加強監測」。主因：雨量偏高 201 mm/24h、距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
166,尤巴斯露營區,苗栗縣,泰安鄉,24.4298441340147,120.911022611953,52.8,加強監測,193.0940800854165,686.94,21.97,210.6,西南,24.5,48.2,1254.128006467728,擃,469.0868095010656,銝,576.88173536043,中,8768.86937525949,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「尤巴斯露營區」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
167,拉芙蘭櫻花農場露營區,高雄市,桃源區,23.2450791111317,120.812722942196,52.7,加強監測,210.85666604659136,734.68,5.6,45.3,東北,17.6,14.8,0.0,雿,16177.609220011276,銝,16177.609220011276,中,1604.7810137229826,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】高雄市桃源區「拉芙蘭櫻花農場露營區」目前為「加強監測」。主因：雨量偏高 211 mm/24h、距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
168,哈娜露營區,新竹縣,五峰鄉,24.621739,121.110529,52.6,加強監測,206.4208585630548,601.37,7.82,44.0,東北,23.9,20.5,540.1987008631439,蝥閫撖,459.3638663906547,擃,679.3143779167457,高,6892.765421529975,1020豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新竹縣五峰鄉「哈娜露營區」目前為「加強監測」。主因：雨量偏高 206 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
169,斯摩亞露營地,新竹縣,關西鎮,24.779873,121.250748,52.6,加強監測,193.412380076699,289.64,13.1,195.8,南,36.8,33.6,16.043241383326684,銝,10573.911740388829,銝,10573.911740388829,中,10589.952009643966,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】新竹縣關西鎮「斯摩亞露營地」目前為「加強監測」。主因：距土石流影響範圍 16 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
170,吉巴谷露營區,高雄市,那瑪夏區,23.2600910085762,120.702852967307,52.6,加強監測,186.765859951348,595.49,6.97,60.3,東北,29.2,20.0,129.53574339953303,雿,14593.43198157646,銝,15841.337098185606,中,559.8539571936776,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】高雄市那瑪夏區「吉巴谷露營區」目前為「加強監測」。主因：距土石流影響範圍 130 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
171,馬赫坡9號秘境(原馬赫坡露營區),南投縣,仁愛鄉,24.01666,121.18733,52.4,加強監測,240.5079370176828,1127.53,16.81,276.8,西,0.0,32.8,460.89769346348,擃,1153.8504395838609,擃,1276.2730476750717,高,4119.519023474206,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「馬赫坡9號秘境(原馬赫坡露營區)」目前為「加強監測」。主因：雨量偏高 241 mm/24h、距土石流影響範圍 461 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
172,春陽.觀休閒露營區(觀溫泉營地),南投縣,仁愛鄉,24.02618,121.16926,52.3,加強監測,234.89408128015324,1083.68,17.93,328.7,西北,0.0,35.0,477.91226103010825,銝,1308.7231651316886,擃,1308.7231651316886,高,5596.625750881478,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣仁愛鄉「春陽.觀休閒露營區(觀溫泉營地)」目前為「加強監測」。主因：雨量偏高 235 mm/24h、距土石流影響範圍 478 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
173,布耶特景觀營地,苗栗縣,泰安鄉,24.421009,120.924102,52.3,加強監測,220.05184572810464,981.26,16.74,302.1,西北,0.0,32.6,1963.7849345679356,擃,276.1960611374993,銝,276.1960611374993,中,7927.158324549759,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「布耶特景觀營地」目前為「加強監測」。主因：雨量偏高 220 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
174,長壽天然農場露營區,南投縣,中寮鄉,23.9151358,120.8143417,52.3,加強監測,205.02271359569164,419.94,13.85,154.5,東南,71.2,42.7,212.9323403528492,雿,4941.652524786656,雿,4943.849995920571,低,4001.340476940693,0728豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣中寮鄉「長壽天然農場露營區」目前為「加強監測」。主因：雨量偏高 205 mm/24h、坡向 東南，迎風暴露較高、距土石流影響範圍 213 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
175,趣露營 GOLY,南投縣,國姓鄉,24.0517339,120.8470136,52.3,加強監測,202.2536693183521,357.21,16.34,66.9,東北,55.8,44.1,135.0653567757248,銝,9845.880862245029,雿,9845.880862245029,低,1183.0588548061703,0728豪雨,違反相關法規露營場,區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】南投縣國姓鄉「趣露營 GOLY」目前為「加強監測」。主因：雨量偏高 202 mm/24h、距土石流影響範圍 135 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
176,得恩谷生態民宿,高雄市,茂林區,22.8968107458639,120.676277056738,52.3,加強監測,195.60481843878307,244.32,8.88,313.5,西北,0.0,17.3,1204.3341907116449,擃,113.34118668539304,銝,1033.1972961237311,中,700.7710316014841,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】高雄市茂林區「得恩谷生態民宿」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
177,水之定莊園,宜蘭縣,大同鄉,24.700327,121.610145,52.3,加強監測,193.5108026872701,192.37,6.7,71.4,東,33.2,20.4,0.0,銝,20008.86023471612,雿,20306.55421370479,中,20386.695820995054,鳳凰颱風,違反相關法規露營場,違反農業發展條例,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】宜蘭縣大同鄉「水之定莊園」目前為「加強監測」。主因：距土石流影響範圍 0 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
178,那結山露營區,桃園市,復興區,24.775215,121.328455,52.3,加強監測,190.1404985657117,716.06,25.83,305.0,西北,0.0,50.4,154.50515604466963,擃,2699.602736929649,銝,2699.602736929649,中,2895.770875757661,0728豪雨,違反相關法規露營場,農業發展條例,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】桃園市復興區「那結山露營區」目前為「加強監測」。主因：距土石流影響範圍 155 m、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
